A:4, W:2, H:2
A:7, W:7, H:1
A:7, W:7, H:1
A:8, W:8, H:1
A:16, W:16, H:1
A:17, W:17, H:1
A:21, W:1, H:21
A:22, W:1, H:22
A:22, W:22, H:1
A:26, W:1, H:26
A:27, W:3, H:9
A:32, W:1, H:32
A:33, W:11, H:3
A:35, W:5, H:7
A:36, W:1, H:36
A:36, W:2, H:18
A:38, W:19, H:2
A:40, W:1, H:40
A:40, W:2, H:20
A:40, W:4, H:10
A:46, W:46, H:1
A:47, W:1, H:47
A:49, W:1, H:49
A:50, W:2, H:25
A:52, W:2, H:26
A:54, W:27, H:2
A:55, W:11, H:5
A:59, W:59, H:1
A:60, W:10, H:6
A:63, W:7, H:9
A:66, W:11, H:6
A:66, W:33, H:2
A:68, W:17, H:4
A:70, W:10, H:7
A:73, W:73, H:1
A:75, W:15, H:5
A:81, W:9, H:9
A:84, W:12, H:7
A:84, W:28, H:3
A:87, W:87, H:1
A:87, W:29, H:3
A:90, W:1, H:90
A:90, W:30, H:3
A:94, W:2, H:47
A:96, W:12, H:8
A:96, W:12, H:8
A:98, W:2, H:49
A:100, W:25, H:4
A:102, W:34, H:3
A:104, W:52, H:2
A:104, W:26, H:4
A:105, W:21, H:5
A:108, W:9, H:12
A:114, W:38, H:3
A:114, W:3, H:38
A:116, W:2, H:58
A:118, W:59, H:2
A:119, W:7, H:17
A:120, W:4, H:30
A:126, W:14, H:9
A:126, W:7, H:18
A:126, W:63, H:2
A:128, W:16, H:8
A:129, W:43, H:3
A:132, W:3, H:44
A:136, W:34, H:4
A:138, W:46, H:3
A:143, W:11, H:13
A:144, W:48, H:3
A:144, W:8, H:18
A:159, W:3, H:53
A:162, W:81, H:2
A:162, W:9, H:18
A:164, W:4, H:41
A:164, W:4, H:41
A:168, W:24, H:7
A:168, W:21, H:8
A:174, W:58, H:3
A:174, W:87, H:2
A:175, W:35, H:5
A:178, W:2, H:89
A:180, W:9, H:20
A:182, W:2, H:91
A:186, W:93, H:2
A:187, W:17, H:11
A:190, W:5, H:38
A:190, W:95, H:2
