hiA:296, W:148, H:2
A:434, W:31, H:14
A:700, W:14, H:50
A:945, W:315, H:3
A:1155, W:11, H:105
A:1188, W:22, H:54
A:1366, W:683, H:2
A:1498, W:2, H:749
A:1872, W:12, H:156
A:1896, W:632, H:3
A:1944, W:324, H:6
A:2000, W:25, H:80
A:2310, W:385, H:6
A:2398, W:22, H:109
A:2660, W:5, H:532
A:2808, W:12, H:234
A:2912, W:208, H:14
A:2940, W:49, H:60
A:3120, W:30, H:104
A:3335, W:145, H:23
A:4095, W:7, H:585
A:4186, W:26, H:161
A:4362, W:6, H:727
A:4669, W:667, H:7
A:5512, W:26, H:212
A:5650, W:25, H:226
A:5766, W:6, H:961
A:5814, W:153, H:38
A:5902, W:454, H:13
A:6006, W:154, H:39
A:6097, W:7, H:871
A:6190, W:619, H:10
A:6475, W:35, H:185
A:6678, W:318, H:21
A:6699, W:319, H:21
A:6951, W:21, H:331
A:7176, W:897, H:8
A:7227, W:73, H:99
A:7406, W:161, H:46
A:7683, W:39, H:197
A:7747, W:127, H:61
A:8046, W:149, H:54
A:8136, W:904, H:9
A:8372, W:644, H:13
A:8772, W:43, H:204
A:8806, W:238, H:37
A:9516, W:78, H:122
A:9618, W:458, H:21
A:9666, W:54, H:179
A:9775, W:575, H:17
A:9854, W:26, H:379
A:9864, W:24, H:411
A:10098, W:306, H:33
A:10148, W:172, H:59
A:10637, W:967, H:11
A:10857, W:21, H:517
A:11340, W:315, H:36
A:11517, W:349, H:33
A:11550, W:21, H:550
A:11613, W:49, H:237
A:12768, W:56, H:228
A:12950, W:74, H:175
A:12978, W:126, H:103
A:13024, W:44, H:296
A:13330, W:155, H:86
A:13552, W:176, H:77
A:13706, W:22, H:623
A:13720, W:280, H:49
A:13725, W:183, H:75
A:13741, W:91, H:151
A:14632, W:248, H:59
A:15364, W:167, H:92
A:16002, W:762, H:21
A:16501, W:29, H:569
A:16905, W:345, H:49
A:17082, W:146, H:117
A:17273, W:751, H:23
A:17391, W:93, H:187
A:17927, W:197, H:91
A:17963, W:781, H:23
A:18080, W:565, H:32
A:18240, W:38, H:480
A:18312, W:218, H:84
A:18506, W:487, H:38
A:18819, W:27, H:697
A:19038, W:501, H:38
A:19096, W:154, H:124
A:19520, W:122, H:160
A:20436, W:39, H:524
A:20760, W:120, H:173
A:21252, W:46, H:462
A:21428, W:974, H:22
A:21546, W:133, H:162
A:21666, W:46, H:471
A:21762, W:351, H:62
A:21924, W:252, H:87
A:22620, W:156, H:145
A:22630, W:310, H:73
A:23010, W:59, H:390
A:23220, W:60, H:387
A:24442, W:121, H:202
A:24598, W:98, H:251
A:24734, W:298, H:83
A:24852, W:436, H:57
A:24921, W:351, H:71
A:24970, W:110, H:227
A:25402, W:977, H:26
A:25449, W:499, H:51
A:25500, W:375, H:68
A:25929, W:129, H:201
A:26448, W:48, H:551
A:26650, W:41, H:650
A:26977, W:53, H:509
A:27029, W:179, H:151
A:27081, W:51, H:531
A:27373, W:31, H:883
A:28197, W:39, H:723
A:28800, W:45, H:640
A:28971, W:29, H:999
A:29348, W:46, H:638
A:29444, W:34, H:866
A:29526, W:518, H:57
A:29700, W:220, H:135
A:30195, W:305, H:99
A:30840, W:120, H:257
A:30855, W:121, H:255
A:32340, W:70, H:462
A:32480, W:290, H:112
A:33450, W:223, H:150
A:35026, W:211, H:166
A:35039, W:947, H:37
A:35490, W:78, H:455
A:35588, W:217, H:164
A:35979, W:537, H:67
A:36000, W:45, H:800
A:36108, W:102, H:354
A:36188, W:166, H:218
A:36864, W:72, H:512
A:37030, W:805, H:46
A:37271, W:611, H:61
A:37620, W:627, H:60
A:37765, W:83, H:455
A:38458, W:574, H:67
A:38478, W:106, H:363
A:39339, W:837, H:47
A:39820, W:55, H:724
A:39849, W:111, H:359
A:39950, W:799, H:50
A:40172, W:242, H:166
A:40186, W:566, H:71
A:40587, W:489, H:83
A:40824, W:84, H:486
A:40916, W:193, H:212
A:41124, W:447, H:92
A:41541, W:183, H:227
A:41552, W:371, H:112
A:41553, W:729, H:57
A:41710, W:430, H:97
A:41817, W:789, H:53
A:41832, W:664, H:63
A:42188, W:212, H:199
A:42484, W:52, H:817
A:42966, W:186, H:231
A:43050, W:150, H:287
A:44688, W:196, H:228
A:45236, W:172, H:263
A:46530, W:517, H:90
A:46750, W:55, H:850
A:47481, W:133, H:357
A:47515, W:65, H:731
A:47921, W:277, H:173
A:48177, W:53, H:909
A:48339, W:123, H:393
A:48498, W:822, H:59
A:49395, W:89, H:555
A:49500, W:990, H:50
A:49542, W:359, H:138
A:49545, W:367, H:135
A:50020, W:410, H:122
A:50290, W:214, H:235
A:50715, W:345, H:147
A:50854, W:94, H:541
A:51153, W:867, H:59
A:51324, W:141, H:364
A:51544, W:68, H:758
A:51992, W:67, H:776
A:52302, W:379, H:138
A:52576, W:62, H:848
A:52865, W:545, H:97
