A:1, W:1, H:1
A:3, W:1, H:3
A:3, W:1, H:3
A:3, W:3, H:1
A:3, W:1, H:3
A:3, W:1, H:3
A:4, W:1, H:4
A:5, W:5, H:1
A:6, W:2, H:3
A:6, W:2, H:3
A:6, W:3, H:2
A:7, W:1, H:7
A:8, W:2, H:4
A:8, W:1, H:8
A:8, W:1, H:8
A:8, W:4, H:2
A:8, W:2, H:4
A:8, W:4, H:2
A:9, W:9, H:1
A:9, W:9, H:1
A:9, W:3, H:3
A:9, W:9, H:1
A:9, W:1, H:9
A:9, W:3, H:3
A:9, W:9, H:1
A:10, W:1, H:10
A:10, W:5, H:2
A:11, W:11, H:1
A:11, W:1, H:11
A:11, W:11, H:1
A:12, W:1, H:12
A:12, W:2, H:6
A:12, W:1, H:12
A:12, W:2, H:6
A:12, W:3, H:4
A:12, W:1, H:12
A:12, W:2, H:6
A:13, W:1, H:13
A:13, W:13, H:1
A:13, W:13, H:1
A:14, W:7, H:2
A:15, W:3, H:5
A:15, W:5, H:3
A:15, W:3, H:5
A:15, W:1, H:15
A:15, W:3, H:5
A:15, W:1, H:15
A:16, W:2, H:8
A:16, W:2, H:8
A:16, W:16, H:1
A:16, W:2, H:8
A:17, W:17, H:1
A:17, W:17, H:1
A:17, W:1, H:17
A:18, W:1, H:18
A:18, W:2, H:9
A:18, W:18, H:1
A:18, W:9, H:2
A:18, W:9, H:2
A:18, W:6, H:3
A:20, W:2, H:10
A:20, W:2, H:10
A:20, W:20, H:1
A:20, W:5, H:4
A:20, W:20, H:1
A:20, W:2, H:10
A:20, W:20, H:1
A:20, W:5, H:4
A:20, W:5, H:4
A:21, W:21, H:1
A:21, W:21, H:1
A:21, W:21, H:1
A:21, W:3, H:7
A:22, W:22, H:1
A:22, W:1, H:22
A:22, W:22, H:1
A:22, W:2, H:11
A:23, W:1, H:23
A:23, W:23, H:1
A:24, W:3, H:8
A:24, W:2, H:12
A:24, W:8, H:3
A:24, W:24, H:1
A:25, W:25, H:1
A:26, W:2, H:13
A:26, W:13, H:2
A:27, W:9, H:3
A:27, W:9, H:3
A:27, W:3, H:9
A:28, W:4, H:7
A:28, W:14, H:2
A:28, W:7, H:4
A:28, W:2, H:14
A:28, W:7, H:4
A:28, W:14, H:2
A:28, W:4, H:7
A:28, W:7, H:4
A:29, W:29, H:1
A:29, W:29, H:1
A:30, W:2, H:15
A:30, W:2, H:15
A:30, W:10, H:3
A:30, W:10, H:3
A:30, W:1, H:30
A:30, W:30, H:1
A:31, W:1, H:31
A:31, W:31, H:1
A:31, W:31, H:1
A:31, W:31, H:1
A:32, W:2, H:16
A:32, W:32, H:1
A:32, W:2, H:16
A:32, W:2, H:16
A:32, W:32, H:1
A:32, W:2, H:16
A:33, W:11, H:3
A:33, W:1, H:33
A:34, W:34, H:1
A:34, W:2, H:17
A:34, W:17, H:2
A:35, W:7, H:5
A:35, W:35, H:1
A:35, W:5, H:7
A:35, W:1, H:35
A:35, W:35, H:1
A:36, W:9, H:4
A:36, W:3, H:12
A:36, W:2, H:18
