A:29200, W:730, H:40
A:75012, W:282, H:266
A:87210, W:570, H:153
A:148695, W:431, H:345
A:206608, W:592, H:349
A:206670, W:249, H:830
A:230830, W:563, H:410
A:248024, W:344, H:721
A:266910, W:410, H:651
A:290178, W:846, H:343
A:682704, W:862, H:792
A:54994, W:887, H:62
A:349396, W:452, H:773
A:152902, W:178, H:859
A:259880, W:890, H:292
A:487830, W:966, H:505
A:100464, W:598, H:168
A:38164, W:47, H:812
A:208505, W:223, H:935
A:154770, W:330, H:469
A:15604, W:47, H:332
A:638288, W:656, H:973
A:460152, W:693, H:664
A:14784, W:168, H:88
A:264616, W:682, H:388
A:1500, W:75, H:20
A:371622, W:723, H:514
A:45390, W:51, H:890
A:766926, W:822, H:933
A:588552, W:822, H:716
A:18960, W:24, H:790
A:93928, W:199, H:472
A:137310, W:398, H:345
A:91448, W:142, H:644
A:42869, W:163, H:263
A:133986, W:137, H:978
A:310744, W:434, H:716
A:108290, W:595, H:182
A:71280, W:132, H:540
A:266680, W:452, H:590
A:198654, W:339, H:586
A:384714, W:522, H:737
A:365600, W:800, H:457
A:11970, W:342, H:35
A:14750, W:50, H:295
A:99840, W:130, H:768
A:14935, W:145, H:103
A:132030, W:489, H:270
A:82594, W:122, H:677
A:684655, W:919, H:745
A:115005, W:123, H:935
A:171387, W:411, H:417
A:366916, W:682, H:538
A:796732, W:818, H:974
A:442467, W:633, H:699
A:324057, W:991, H:327
A:479104, W:788, H:608
A:25025, W:175, H:143
A:217620, W:806, H:270
A:4233, W:249, H:17
A:8651, W:41, H:211
A:11172, W:14, H:798
A:124312, W:164, H:758
A:196409, W:997, H:197
A:74620, W:130, H:574
A:696110, W:755, H:922
A:5729, W:337, H:17
A:523697, W:641, H:817
A:661848, W:872, H:759
A:45016, W:662, H:68
A:441329, W:941, H:469
A:84760, W:326, H:260
A:189150, W:485, H:390
A:758535, W:915, H:829
A:83779, W:421, H:199
A:336826, W:491, H:686
A:12201, W:49, H:249
A:91014, W:394, H:231
A:788535, W:891, H:885
A:236980, W:578, H:410
A:645210, W:670, H:963
A:255519, W:801, H:319
A:2124, W:3, H:708
A:419342, W:778, H:539
A:241108, W:436, H:553
A:9405, W:165, H:57
A:130005, W:535, H:243
A:121119, W:859, H:141
A:3288, W:6, H:548
A:373324, W:469, H:796
A:33852, W:364, H:93
A:102531, W:717, H:143
A:296100, W:450, H:658
A:160974, W:271, H:594
A:66164, W:476, H:139
A:63744, W:249, H:256
A:590820, W:645, H:916
A:1425, W:57, H:25
A:384192, W:522, H:736
A:271530, W:630, H:431
A:377685, W:693, H:545
A:533877, W:753, H:709
A:6963, W:633, H:11
A:507357, W:989, H:513
A:108332, W:742, H:146
A:524295, W:573, H:915
A:53472, W:557, H:96
A:719806, W:733, H:982
A:323512, W:742, H:436
A:857472, W:957, H:896
A:58800, W:735, H:80
A:292005, W:721, H:405
A:225, W:9, H:25
A:69368, W:299, H:232
A:373230, W:870, H:429
A:695700, W:773, H:900
A:443043, W:549, H:807
A:169814, W:394, H:431
A:348798, W:953, H:366
A:302328, W:741, H:408
A:213504, W:278, H:768
A:2436, W:812, H:3
A:136990, W:190, H:721
A:100122, W:814, H:123
A:203544, W:771, H:264
A:217872, W:306, H:712
A:328680, W:990, H:332
A:129042, W:402, H:321
A:717776, W:904, H:794
A:28800, W:384, H:75
A:158730, W:222, H:715
A:538880, W:640, H:842
A:222552, W:562, H:396
A:33200, W:830, H:40
A:36248, W:184, H:197
A:326196, W:369, H:884
A:111044, W:782, H:142
A:581196, W:777, H:748
A:131440, W:424, H:310
A:830822, W:853, H:974
A:291525, W:507, H:575
A:238320, W:720, H:331
A:349800, W:600, H:583
A:136404, W:324, H:421
A:251040, W:523, H:480
A:98525, W:175, H:563
A:256296, W:724, H:354
A:159132, W:894, H:178
A:525030, W:645, H:814
A:90321, W:119, H:759
A:40932, W:54, H:758
A:546798, W:987, H:554
A:399384, W:774, H:516
A:222460, W:908, H:245
A:37843, W:923, H:41
A:491960, W:980, H:502
A:539396, W:572, H:943
A:254928, W:678, H:376
A:43076, W:356, H:121
A:337648, W:752, H:449
A:8177, W:481, H:17
A:42735, W:385, H:111
A:134300, W:790, H:170
A:139292, W:359, H:388
A:34162, W:62, H:551
A:576164, W:629, H:916
A:68249, W:491, H:139
A:249375, W:475, H:525
A:253002, W:894, H:283
